date,discount_coupon_code,usage_count,total_discount_given,gross_revenue,avg_order_value,net_revenue,discount_percentage
2025-01-01,RING20,11,1329.92,6649.61,604.51,5319.69,20.0
2025-01-01,HOLIDAY10,10,508.0,5079.7,507.97,4571.7,10.0
2025-01-01,NO_COUPON,7,0.0,2849.78,407.11,2849.78,0.0
2025-01-02,NO_COUPON,13,0.0,8329.54,640.73,8329.54,0.0
2025-01-02,RING20,10,1051.94,5259.67,525.97,4207.73,20.0
2025-01-02,HOLIDAY10,8,440.0,4399.75,549.97,3959.75,10.0
2025-01-03,HOLIDAY10,11,542.0,5419.67,492.7,4877.67,10.0
2025-01-03,RING20,11,973.93,4869.66,442.7,3895.73,20.0
2025-01-03,NO_COUPON,8,0.0,4889.72,611.22,4889.72,0.0
2025-01-04,HOLIDAY10,9,509.0,5089.7,565.52,4580.7,10.0
2025-01-04,RING20,9,871.94,4359.75,484.42,3487.81,20.0
2025-01-04,NO_COUPON,8,0.0,4239.74,529.97,4239.74,0.0
2025-01-05,HOLIDAY10,15,805.0,8049.51,536.63,7244.51,10.0
2025-01-05,NO_COUPON,13,0.0,7459.6,573.82,7459.6,0.0
2025-01-05,RING20,8,717.96,3589.79,448.72,2871.83,20.0
2025-01-06,HOLIDAY10,15,688.0,6879.56,458.64,6191.56,10.0
2025-01-06,NO_COUPON,14,0.0,6879.59,491.4,6879.59,0.0
2025-01-06,RING20,11,1093.93,5469.66,497.24,4375.73,20.0
2025-01-07,NO_COUPON,12,0.0,5869.62,489.14,5869.62,0.0
2025-01-07,HOLIDAY10,8,274.0,2739.83,342.48,2465.83,10.0
2025-01-07,RING20,4,365.98,1829.88,457.47,1463.9,20.0
2025-01-08,HOLIDAY10,18,905.0,9049.42,502.75,8144.42,10.0
2025-01-08,RING20,14,1333.93,6669.6,476.4,5335.67,20.0
2025-01-08,NO_COUPON,12,0.0,5739.63,478.3,5739.63,0.0
2025-01-09,RING20,13,1411.91,7059.57,543.04,5647.66,20.0
2025-01-09,HOLIDAY10,9,397.0,3969.76,441.08,3572.76,10.0
2025-01-09,NO_COUPON,6,0.0,3819.79,636.63,3819.79,0.0
2025-01-10,HOLIDAY10,12,657.0,6569.63,547.47,5912.63,10.0
2025-01-10,RING20,10,1111.94,5559.69,555.97,4447.75,20.0
2025-01-10,NO_COUPON,6,0.0,2459.87,409.98,2459.87,0.0
2025-01-11,RING20,13,895.94,4479.65,344.59,3583.71,20.0
2025-01-11,NO_COUPON,12,0.0,5989.65,499.14,5989.65,0.0
2025-01-11,HOLIDAY10,8,369.0,3689.78,461.22,3320.78,10.0
2025-01-12,HOLIDAY10,17,718.0,7179.59,422.33,6461.59,10.0
2025-01-12,RING20,14,1377.93,6889.62,492.12,5511.69,20.0
2025-01-12,NO_COUPON,4,0.0,2769.85,692.46,2769.85,0.0
2025-01-13,HOLIDAY10,10,435.0,4349.72,434.97,3914.72,10.0
2025-01-13,RING20,10,901.95,4509.72,450.97,3607.77,20.0
2025-01-13,NO_COUPON,9,0.0,4109.76,456.64,4109.76,0.0
2025-01-14,NO_COUPON,13,0.0,6369.6,489.97,6369.6,0.0
2025-01-14,RING20,13,1319.91,6599.55,507.66,5279.64,20.0
2025-01-14,HOLIDAY10,12,782.99,7829.56,652.46,7046.57,10.0
2025-01-15,NO_COUPON,10,0.0,5329.69,532.97,5329.69,0.0
2025-01-15,HOLIDAY10,8,202.0,2019.85,252.48,1817.85,10.0
2025-01-15,RING20,6,657.97,3289.82,548.3,2631.85,20.0
2025-01-16,NO_COUPON,10,0.0,5549.66,554.97,5549.66,0.0
2025-01-16,RING20,9,979.95,4899.71,544.41,3919.76,20.0
2025-01-16,HOLIDAY10,8,511.99,5119.73,639.97,4607.74,10.0
2025-01-17,HOLIDAY10,14,706.99,7069.51,504.96,6362.52,10.0
2025-01-17,NO_COUPON,11,0.0,5499.65,499.97,5499.65,0.0
2025-01-17,RING20,7,833.94,4169.75,595.68,3335.81,20.0
2025-01-18,NO_COUPON,12,0.0,5589.63,465.8,5589.63,0.0
2025-01-18,HOLIDAY10,11,645.99,6459.61,587.24,5813.62,10.0
2025-01-18,RING20,6,487.96,2439.83,406.64,1951.87,20.0
2025-01-19,HOLIDAY10,14,867.99,8679.49,619.96,7811.5,10.0
2025-01-19,NO_COUPON,10,0.0,5069.67,506.97,5069.67,0.0
2025-01-19,RING20,7,403.99,2019.86,288.55,1615.87,20.0
2025-01-20,NO_COUPON,13,0.0,6249.62,480.74,6249.62,0.0
2025-01-20,HOLIDAY10,11,592.99,5929.56,539.05,5336.57,10.0
2025-01-20,RING20,8,909.95,4549.75,568.72,3639.8,20.0
