date,gross_revenue,total_discount,net_revenue,total_orders,total_sessions,total_users,conversion_rate,avg_order_value,new_customers,repeat_customers
2025-01-01,14579.09,1837.92,12741.17,28,400,283,7.0,520.68,,27
2025-01-02,17988.96,1491.94,16497.02,31,400,353,7.75,580.29,,31
2025-01-03,15179.05,1515.93,13663.12,30,400,371,7.5,505.97,,30
2025-01-04,13689.19,1380.94,12308.25,26,400,372,6.5,526.51,,26
2025-01-05,19098.9,1522.96,17575.94,36,400,380,9.0,530.53,,35
2025-01-06,19228.81,1781.93,17446.88,40,400,378,10.0,480.72,,40
2025-01-07,10439.33,639.98,9799.35,24,400,386,6.0,434.97,,24
2025-01-08,21458.65,2238.93,19219.72,44,400,391,11.0,487.7,,44
2025-01-09,14849.12,1808.91,13040.21,28,400,391,7.0,530.33,,28
2025-01-10,14589.19,1768.94,12820.25,28,400,390,7.0,521.04,,28
2025-01-11,14159.08,1264.94,12894.14,33,400,394,8.25,429.06,,33
2025-01-12,16839.06,2095.93,14743.13,35,400,392,8.75,481.12,,35
2025-01-13,12969.2,1336.95,11632.25,29,400,397,7.25,447.21,,29
2025-01-14,20798.71,2102.9,18695.81,38,400,392,9.5,547.33,,38
2025-01-15,10639.36,859.97,9779.39,24,400,396,6.0,443.31,,24
2025-01-16,15569.1,1491.94,14077.16,27,400,395,6.75,576.63,,27
2025-01-17,16738.91,1540.93,15197.98,32,400,397,8.0,523.09,,32
2025-01-18,14489.07,1133.95,13355.12,29,400,393,7.25,499.62,,29
2025-01-19,15769.02,1271.98,14497.04,31,400,395,7.75,508.68,,31
2025-01-20,16728.93,1502.94,15225.99,32,400,398,8.0,522.78,,32
2025-01-21,13199.15,1416.95,11782.2,32,400,396,8.0,412.47,,32
2025-01-22,14959.17,1734.94,13224.23,23,400,397,5.75,650.4,,23
2025-01-23,16989.02,1735.94,15253.08,29,400,399,7.25,585.83,,29
2025-01-24,12369.25,1183.96,11185.29,29,400,399,7.25,426.53,,29
2025-01-25,12729.12,1424.95,11304.17,28,400,396,7.0,454.61,,28
2025-01-26,13559.21,1546.95,12012.26,24,400,397,6.0,564.97,,24
2025-01-27,19388.77,1648.94,17739.83,41,400,395,10.25,472.9,,40
2025-01-28,16229.06,1256.97,14972.09,30,400,396,7.5,540.97,,30
2025-01-29,16708.9,1953.93,14754.97,36,400,397,9.0,464.14,,36
2025-01-30,18768.82,2042.9,16725.92,35,400,397,8.75,536.25,,35
2025-01-31,12739.2,1263.96,11475.24,34,400,399,8.5,374.68,,34
2025-02-01,17198.83,1236.95,15961.88,41,400,399,10.25,419.48,,41
2025-02-02,20028.83,1735.95,18292.88,36,400,400,9.0,556.36,,36
2025-02-03,15699.09,1106.95,14592.14,29,400,397,7.25,541.35,,29
2025-02-04,14729.16,1650.92,13078.24,29,400,399,7.25,507.9,,29
2025-02-05,14679.15,1805.92,12873.23,28,400,397,7.0,524.26,,28
